From KiCAD,,,,,
Id,Designator,Package,Quantity,Designation,Supplier and ref
1,B+1;B-1,MountingHole_2.2mm_M2_Pad,2,Mounting_Hole_PAD,
2,P1;P3;P5;P6;P7;P8;P9;P10;P11;P12;P13;P14;P15;P16;P17;P18,Pin_Header_Straight_1x03_Pitch2.54mm,16,CONN_01X03,Digikey 732-5316-ND
3,P2;P4,Pin_Header_Straight_1x10_Pitch2.54mm,2,CONN_01X10,Digikey WM4008-ND
4,SW1,DIP_SW_219-6LPST,1,SW_DIP_x06,Digikey CT2196LPST-ND
5,U1,SOT-223,1,LM317_3PinPackage,Digikey 296-12602-ND
6,U2,TSOP-5_1.65x3.05mm_Pitch0.95mm,1,NCP551,Digikey NCP551SN33T1GOSCT-ND
7,U3,TSSOP-28_4.4x9.7mm_Pitch0.65mm,1,PCA9685,Digikey 568-11925-1-ND
8,U4;U5;U6;U7,MSOP-8_3x3mm_Pitch0.65mm,4,BA4510FVM-GTR,Digikey BA4510FVM-GTRCT-ND
9,C1;C7;C9;C12;C14;C16;C18,C_0603,7,100n,Digikey 490-1532-1-ND
10,C2;C8,C_0603,2,10n,Digikey 1276-1928-1-ND
11,C3;C5;C6;C10;C11;C13;C15;C17,C_0603,8,10u,Digikey 1276-1119-1-ND
12,C4,C_0603,1,1u,Digikey 1276-1184-1-ND
13,R1;R2;R5;R6;R7;R8;R9;R10;R14;R15;R19;R20;R24;R25,R_0603,14,0,Digikey RMCF0603FFG1M00CT-ND
14,R3,R_0603,1,240,Digikey RMCF0603FT240RCT-ND
15,R4,R_0603,1,750,Digikey RMCF0603FT750RCT-ND
16,R11;R16;R21;R26,R_0603,4,10k,Digikey RMCF0603FT10K0CT-ND
17,R12;R17;R22;R27,R_0603,4,2.4k,Digikey RMC0603JT2K40CT-ND
18,R13;R18;R23;R28,R_0603,4,5.1k,Digikey RMC0603FT5K10CT-ND
,,,,,
,,,,Ordered,
